Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
8308,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,5 and more,2,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,3-<4%,,No
8309,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,9-<10%,,<1%,,No
8310,23,May-2026,Goa,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Self Employed,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,11-<12%,,12-<13%,,No
8439,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,7-<8%,,7-<8%,,No
8440,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
8458,23,May-2026,Goa,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,3 or 4,2,Salaried Employee,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,8-<9%,,8-<9%,,No
8493,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
8494,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,2,Salaried Employee,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8543,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
8544,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,1 or 2,1,Homemaker,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
8545,23,May-2026,Goa,60 years and above,Female,Rs. 25 thousand - Less than Rs. 50 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Worsened,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
8546,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
8547,23,May-2026,Goa,60 years and above,Female,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,8-<9%,,8-<9%,,No
8548,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,12th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,5-<6%,,2-<3%,,No
8549,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Improved,Will Improve,Increased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Decreased,Will Increase,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8550,23,May-2026,Goa,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Worsen,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
8551,23,May-2026,Goa,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,Homemaker,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
8552,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8553,23,May-2026,Goa,60 years and above,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,1 or 2,1,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Decrease,Increased,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8554,23,May-2026,Goa,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Worsened,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,9-<10%,,No
8555,23,May-2026,Goa,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
8556,23,May-2026,Goa,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
8557,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,2,Salaried Employee,Remained The Same,Will Worsen,Worsened,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,7-<8%,,8-<9%,,No
8593,23,May-2026,Goa,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Remain The Same,Price Increased Similar To Last Year,,7-<8%,,<1%,,No
8594,23,May-2026,Goa,30 to 39 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,No
8635,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Increased,Remain The Same,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
8636,23,May-2026,Goa,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,11-<12%,,No
8637,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Decrease,Remained The Same,Remain The Same,Increased,Remain The Same,Decreased,Remain The Same,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,1-<2%,,No
8638,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Salaried Employee,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Decreased,Will Decrease,,,<1%,,<1%,,No
8639,23,May-2026,Goa,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Retired Person,Remained The Same,Remain The Same,Worsened,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,5-<6%,,<1%,,No
8786,23,May-2026,Goa,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,1,Salaried Employee,Remained The Same,Will Improve,Improved,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
8787,23,May-2026,Goa,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,1,Salaried Employee,Remained The Same,Remain The Same,Remained The Same,Will Worsen,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Decreased,Will Decrease,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,6-<7%,,9-<10%,,No
123,23,May-2026,Gujarat,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,1 or 2,1,Salaried Employee,Remained The Same,Will Worsen,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Decreased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
319,23,May-2026,Gujarat,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Daily Worker,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
414,23,May-2026,Gujarat,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Retired Person,Improved,Will Improve,Improved,Will Improve,Decreased,Remain The Same,Remained The Same,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
430,23,May-2026,Gujarat,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Post Graduate,3 or 4,1,Daily Worker,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
462,23,May-2026,Gujarat,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
474,23,May-2026,Gujarat,40 to 59 years,Male,Less than Rs. 5 thousand,10th Std - Below 12th Std,3 or 4,1,Self Employed,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,6-<7%,,6-<7%,,No
498,23,May-2026,Gujarat,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Daily Worker,Worsened,Remain The Same,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Will Decrease,Increased,Remain The Same,Price Increased Similar To Last Year,,3-<4%,,<1%,,No
499,23,May-2026,Gujarat,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Remained The Same,Will Decrease,Increased,Will Decrease,Price Increased Similar To Last Year,,3-<4%,,<1%,,Yes
511,23,May-2026,Gujarat,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Remained The Same,Will Improve,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,Yes
512,23,May-2026,Gujarat,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,3,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,Yes
513,23,May-2026,Gujarat,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,3,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,,,<1%,,<1%,,Yes
514,23,May-2026,Gujarat,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Price Increased More Than Last Year,,3-<4%,,<1%,,No
515,23,May-2026,Gujarat,30 to 39 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Decreased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
516,23,May-2026,Gujarat,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Improved,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,Yes
